Name,Rank,Author,Band(s),Link
Jimi Hendrix,1,Joe Satriani,,https://www.youtube.com/watch?v=zv97c3W6lw8
Jimmy Page,2,Bruce Kulick,"Kiss, Grand Funk Railroad",https://www.youtube.com/watch?v=HQmmM_qwG4k
Eddie Van Halen,3,Ritchie Kotzen,"Poison, Mr Big, Winery Dogs",https://www.youtube.com/watch?v=oRdxUFDoQe0
David Gilmour,4,Steve Rothery,Marillion,https://www.youtube.com/watch?v=LTseTg48568
Eric Clapton,5,Edward Van Halen,,https://www.youtube.com/watch?v=1qogsVUEnjw
Stevie Ray Vaughan,6,Joanne Shaw Taylor,,https://www.youtube.com/watch?v=kfjXp4KTTY8
Brian May,7,Steve Vai,,https://www.youtube.com/watch?v=D5bzrb-v9Y0
Alex Lifeson,8,Dr Stuart Clark,Astronomer,https://www.youtube.com/watch?v=eK1hmDpa8bo
Slash,9,Duff McKagan,Guns N' Roses,https://www.youtube.com/watch?v=MXx9S2nDouY
Ritchie Blackmore,10,Phil Collen,Def Leppard,https://www.youtube.com/watch?v=UAKCR7kQMTQ
Steve Vai,11,Tom Morello,"Rage Against The Machine, E-Street Band, Prophets Of Rage",https://www.youtube.com/watch?v=Zd60m3oUNTg
Jeff Beck,12,David Gilmour,,https://www.youtube.com/watch?v=NzDqqxKnW3o
Joe Satriani,13,Chris Impellitteri,,https://www.youtube.com/watch?v=mlkbT4GDYAQ
Tony Iommi,14,James Hetfield,Metallica,https://www.youtube.com/watch?v=5s7_WbiR79E
Gary Moore,15,Kris Barras,,https://www.youtube.com/watch?v=t5ZxrgEWtnE
Randy Rhoads,16,Frank Hannon,Tesla,https://www.youtube.com/watch?v=FVovq9TGBw0
Mark Knopfler,17,Will Smith,Writer: ,https://www.youtube.com/watch?v=Q1Wp2ASqyxI
B,18,Billy Gibbons,ZZ Top,https://www.youtube.com/watch?v=IYxPz7KpdG8
Dimebag Darrell,19,Sebastian Bach,,https://www.youtube.com/watch?v=RVMvART9kb8
Angus Young,20,Joe Perry,Aerosmith,https://www.youtube.com/watch?v=pdnFm6uZSc8
Carlos Santana,21,Dave Cousins,The Strawbs,https://www.youtube.com/watch?v=iFvLDAU6EhA
Synyster Gates,22,Conor Marshall,Conjuror,https://www.youtube.com/watch?v=7bDg7n-chhU
Prince,23,Ben Weinman,The Dillinger Escape Plan,https://www.youtube.com/watch?v=TvnYmWpD_T8
John Petrucci,24,Herman Li,Dragonforce,https://www.youtube.com/watch?v=mipc-JxrhRk
Yngwie Malmsteen,25,George Lynch,Dokken,https://www.youtube.com/watch?v=n6kPfe9gVJk
Frank Zappa,26,Dweezil Zappa,,https://www.youtube.com/watch?v=aDQE82ElyJg
Zakk Wylde,27,Bumbefoot,,https://www.youtube.com/watch?v=j34juXrJWqw
Rory Gallagher,28,Jake Burns,Stiff Little Fingers,https://www.youtube.com/watch?v=CL80jFkLzQ0
Steve Howe,29,Sir Richard Bishop,"Sun City Girls, Rangda",https://www.youtube.com/watch?v=kmZoQFYYx8U
Chuck Berry,30,Angus Young,,https://www.youtube.com/watch?v=KrbPlr4Wskc
Kirk Hammett,31,Joe Satriani,Metallica,https://www.youtube.com/watch?v=Ckom3gf57Yw
Pete Townshend,32,Ace Frehley,,https://www.youtube.com/watch?v=kf1KeXY572o
James Hetfield,33,Jerry Cantrell,Alice In Chains,https://www.youtube.com/watch?v=1Eq9RVKT9XQ
Dave Mustaine,34,James Monteith,TesseracT,https://www.youtube.com/watch?v=41IoDigg72A
Mick Taylor,35,Slash,Guns N' Roses,https://www.youtube.com/watch?v=3fa4HUiFJ6c
Joe Bonamassa,36,Leslie West,Mountain,https://www.youtube.com/watch?v=CEnLwMVxjkM
Billy Gibbons,37,Keith Nelson,Buckcherry,https://www.youtube.com/watch?v=yMZFZitbVoY
Keith Richards,38,Steven Van Zandt,Bruce Springsteenâ€™s E Street,https://www.youtube.com/watch?v=761yzGz4HzQ
Paul Kossoff,39,Paul Mahon,The Answer,https://www.youtube.com/watch?v=YExuLkIaQ7U
Duane Allman,40,Charlie Starr,Blackberry Smoke,https://www.youtube.com/watch?v=0y8Q2PATVyI
Michael Schenker,41,Mike McReady,Pearl Jam,https://www.youtube.com/watch?v=JjPW35eot70
George Harrison,42,Elliot Easton,The Cars,https://www.youtube.com/watch?v=R1TLj9-jdLs
Malcolm Young,43,Scott Ian,Anthrax,https://www.youtube.com/watch?v=eQluGs2SFRs
Paul Gilbert,44,Jim Davies,"The Prodigy, Pitchshifter",https://www.youtube.com/watch?v=rn-wj4pRpIE
Tom Morello,45,Wayne Kramer,MC5,https://www.youtube.com/watch?v=3L4YrGaR8E4
Robin Trower,46,Paul Gilbert,"Racer X, Mr Big",https://www.youtube.com/watch?v=sTpvd3UAXP4
Peter Green,47,Rich Robinson,"The Black Crowes, The Magpie Salute",https://www.youtube.com/watch?v=RtmW2ek7WkQ
Steve Morse,48,Steve Howe,Yes,https://www.youtube.com/watch?v=U609XEuKLPc
John McLaughlin,49,Chris Goss,Producer/Masters Of Reality,https://www.youtube.com/watch?v=OMTXjmVd6AI
Robert Fripp,50,Steven Wilson,,https://www.youtube.com/watch?v=Lm8xCYZjB-M
